id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,What is 10% of 337?,50.55,38.7,28.7,33.7,d,Easy,Percentages
2,What is 20% of 135?,40.5,27,22,32,b,Easy,Percentages
3,What is 10% of 356?,40.6,30.6,35.6,53.4,c,Easy,Percentages
4,What is 20% of 57?,17.1,11.4,6.4,16.4,b,Easy,Percentages
5,What is 20% of 297?,54.4,64.4,59.4,89.1,c,Easy,Percentages
6,What is 25% of 311?,72.75,82.75,116.62,77.75,d,Easy,Percentages
7,What is 25% of 184?,41,69,46,51,c,Easy,Percentages
8,What is 10% of 62?,1.2,11.2,6.2,9.3,c,Easy,Percentages
9,What is 30% of 443?,199.35,137.9,132.9,127.9,c,Easy,Percentages
10,What is 10% of 284?,23.4,33.4,28.4,42.6,c,Easy,Percentages
11,What is 30% of 434?,195.3,130.2,125.2,135.2,b,Easy,Percentages
12,What is 20% of 33?,11.6,9.9,6.6,1.6,c,Easy,Percentages
13,What is 10% of 453?,45.3,40.3,50.3,67.95,a,Easy,Percentages
14,What is 30% of 335?,100.5,95.5,150.75,105.5,a,Easy,Percentages
15,What is 25% of 117?,34.25,43.88,24.25,29.25,d,Easy,Percentages
16,What is 20% of 283?,56.6,51.6,84.9,61.6,a,Easy,Percentages
17,What is 20% of 148?,34.6,44.4,29.6,24.6,c,Easy,Percentages
18,What is 5% of 430?,21.5,32.25,26.5,16.5,a,Easy,Percentages
19,What is 20% of 43?,12.9,13.6,8.6,3.6,c,Easy,Percentages
20,What is 50% of 212?,101,106,159,111,b,Easy,Percentages
21,What is 25% of 136?,34,39,29,51,a,Easy,Percentages
22,What is 20% of 195?,39,58.5,34,44,a,Easy,Percentages
23,What is 5% of 56?,7.8,-2.2,4.2,2.8,d,Easy,Percentages
24,What is 40% of 415?,249,161,171,166,d,Easy,Percentages
25,What is 50% of 315?,162.5,157.5,236.25,152.5,b,Easy,Percentages
26,What is 10% of 358?,35.8,40.8,53.7,30.8,a,Easy,Percentages
27,What is 25% of 67?,11.75,21.75,16.75,25.12,c,Easy,Percentages
28,What is 25% of 11?,4.12,2.75,-2.25,7.75,b,Easy,Percentages
29,What is 25% of 455?,108.75,170.62,113.75,118.75,c,Easy,Percentages
30,What is 12.5% of 400?,75,55,45,50,d,Easy,Percentages
31,What is 5% of 260?,19.5,8,18,13,d,Easy,Percentages
32,What is 5% of 132?,9.9,6.6,1.6,11.6,b,Easy,Percentages
33,What is 50% of 53?,31.5,39.75,21.5,26.5,d,Easy,Percentages
34,What is 50% of 75?,37.5,32.5,56.25,42.5,a,Easy,Percentages
35,What is 20% of 118?,23.6,35.4,28.6,18.6,a,Easy,Percentages
36,What is 50% of 234?,122,112,175.5,117,d,Easy,Percentages
37,What is 30% of 42?,17.6,18.9,7.6,12.6,d,Easy,Percentages
38,What is 20% of 311?,67.2,57.2,93.3,62.2,d,Easy,Percentages
39,What is 10% of 127?,7.7,19.05,17.7,12.7,d,Easy,Percentages
40,What is 20% of 273?,54.6,59.6,81.9,49.6,a,Easy,Percentages
41,What is 12.5% of 119?,9.88,19.88,14.88,22.32,c,Easy,Percentages
42,What is 40% of 423?,253.8,164.2,169.2,174.2,c,Easy,Percentages
43,What is 40% of 347?,138.8,208.2,143.8,133.8,a,Easy,Percentages
44,What is 5% of 249?,7.45,17.45,18.67,12.45,d,Easy,Percentages
45,What is 30% of 382?,119.6,109.6,171.9,114.6,d,Easy,Percentages
46,What is 50% of 107?,48.5,53.5,80.25,58.5,b,Easy,Percentages
47,What is 50% of 152?,71,114,76,81,c,Easy,Percentages
48,What is 10% of 423?,47.3,63.45,37.3,42.3,d,Easy,Percentages
49,What is 20% of 57?,11.4,6.4,17.1,16.4,a,Easy,Percentages
50,What is 20% of 256?,56.2,46.2,51.2,76.8,c,Easy,Percentages
51,What is 5% of 204?,10.2,5.2,15.2,15.3,a,Easy,Percentages
52,What is 40% of 156?,67.4,57.4,62.4,93.6,c,Easy,Percentages
53,What is 20% of 161?,37.2,48.3,27.2,32.2,d,Easy,Percentages
54,What is 30% of 392?,112.6,122.6,176.4,117.6,d,Easy,Percentages
55,What is 12.5% of 267?,38.38,50.07,28.38,33.38,d,Easy,Percentages
56,What is 12.5% of 445?,60.62,83.43,50.62,55.62,d,Easy,Percentages
57,What is 20% of 355?,76,66,71,106.5,c,Easy,Percentages
58,What is 5% of 306?,22.95,10.3,20.3,15.3,d,Easy,Percentages
59,What is 25% of 488?,122,183,117,127,a,Easy,Percentages
60,What is 25% of 132?,28,38,33,49.5,c,Easy,Percentages
61,What is 30% of 244?,68.2,78.2,109.8,73.2,d,Easy,Percentages
62,What is 10% of 328?,37.8,49.2,27.8,32.8,d,Easy,Percentages
63,What is 25% of 269?,62.25,67.25,100.88,72.25,b,Easy,Percentages
64,What is 20% of 460?,138,92,97,87,b,Easy,Percentages
65,What is 25% of 234?,87.75,63.5,53.5,58.5,d,Easy,Percentages
66,What is 10% of 487?,43.7,48.7,73.05,53.7,b,Easy,Percentages
67,What is 10% of 465?,46.5,41.5,69.75,51.5,a,Easy,Percentages
68,What is 20% of 319?,95.7,68.8,63.8,58.8,c,Easy,Percentages
69,What is 50% of 268?,139,201,134,129,c,Easy,Percentages
70,What is 40% of 334?,138.6,200.4,133.6,128.6,c,Easy,Percentages
71,A can finish a work in 12 days and B in 26 days. How long to finish together?,8.21,12.32,6.21,10.21,a,Moderate,Time & Work
72,A can finish a work in 7 days and B in 25 days. How long to finish together?,5.47,7.47,3.47,8.21,a,Moderate,Time & Work
73,A can finish a work in 19 days and B in 2 days. How long to finish together?,3.81,-0.19,2.71,1.81,d,Moderate,Time & Work
74,A can finish a work in 19 days and B in 3 days. How long to finish together?,4.59,2.59,3.88,0.59,b,Moderate,Time & Work
75,A can finish a work in 15 days and B in 6 days. How long to finish together?,6.44,2.29,6.29,4.29,d,Moderate,Time & Work
76,A can finish a work in 30 days and B in 27 days. How long to finish together?,12.21,21.32,16.21,14.21,d,Moderate,Time & Work
77,A can finish a work in 23 days and B in 9 days. How long to finish together?,9.71,4.47,8.47,6.47,d,Moderate,Time & Work
78,A can finish a work in 21 days and B in 25 days. How long to finish together?,17.12,9.41,11.41,13.41,c,Moderate,Time & Work
79,A can finish a work in 27 days and B in 27 days. How long to finish together?,11.5,13.5,20.25,15.5,b,Moderate,Time & Work
80,A can finish a work in 7 days and B in 25 days. How long to finish together?,8.21,5.47,7.47,3.47,b,Moderate,Time & Work
81,A can finish a work in 10 days and B in 7 days. How long to finish together?,2.12,6.18,6.12,4.12,d,Moderate,Time & Work
82,A can finish a work in 29 days and B in 17 days. How long to finish together?,8.72,16.08,10.72,12.72,c,Moderate,Time & Work
83,A can finish a work in 13 days and B in 11 days. How long to finish together?,8.94,3.96,5.96,7.96,c,Moderate,Time & Work
84,A can finish a work in 23 days and B in 8 days. How long to finish together?,5.94,3.94,7.94,8.91,a,Moderate,Time & Work
85,A can finish a work in 29 days and B in 4 days. How long to finish together?,3.52,5.28,5.52,1.52,a,Moderate,Time & Work
86,A can finish a work in 23 days and B in 28 days. How long to finish together?,14.63,18.95,12.63,10.63,c,Moderate,Time & Work
87,A can finish a work in 30 days and B in 10 days. How long to finish together?,7.5,11.25,5.5,9.5,a,Moderate,Time & Work
88,A can finish a work in 3 days and B in 5 days. How long to finish together?,1.88,-0.12,3.88,2.82,a,Moderate,Time & Work
89,A can finish a work in 15 days and B in 21 days. How long to finish together?,6.75,13.12,10.75,8.75,d,Moderate,Time & Work
90,A can finish a work in 10 days and B in 3 days. How long to finish together?,4.31,0.31,2.31,3.46,c,Moderate,Time & Work
91,A can finish a work in 13 days and B in 15 days. How long to finish together?,10.44,8.96,4.96,6.96,d,Moderate,Time & Work
92,A can finish a work in 21 days and B in 12 days. How long to finish together?,11.46,9.64,5.64,7.64,d,Moderate,Time & Work
93,A can finish a work in 18 days and B in 11 days. How long to finish together?,6.83,4.83,8.83,10.25,a,Moderate,Time & Work
94,A can finish a work in 24 days and B in 11 days. How long to finish together?,5.54,11.31,7.54,9.54,c,Moderate,Time & Work
95,A can finish a work in 23 days and B in 14 days. How long to finish together?,8.7,13.05,6.7,10.7,a,Moderate,Time & Work
96,A can finish a work in 14 days and B in 19 days. How long to finish together?,12.09,6.06,10.06,8.06,d,Moderate,Time & Work
97,A can finish a work in 8 days and B in 15 days. How long to finish together?,5.22,7.83,7.22,3.22,a,Moderate,Time & Work
98,A can finish a work in 16 days and B in 23 days. How long to finish together?,9.44,14.16,7.44,11.44,a,Moderate,Time & Work
99,A can finish a work in 27 days and B in 30 days. How long to finish together?,21.32,14.21,12.21,16.21,b,Moderate,Time & Work
100,A can finish a work in 11 days and B in 18 days. How long to finish together?,8.83,10.25,6.83,4.83,c,Moderate,Time & Work
101,A can finish a work in 23 days and B in 11 days. How long to finish together?,11.16,5.44,7.44,9.44,c,Moderate,Time & Work
102,A can finish a work in 2 days and B in 3 days. How long to finish together?,-0.8,1.2,1.8,3.2,b,Moderate,Time & Work
103,A can finish a work in 16 days and B in 15 days. How long to finish together?,7.74,11.61,5.74,9.74,a,Moderate,Time & Work
104,A can finish a work in 17 days and B in 14 days. How long to finish together?,11.52,5.68,7.68,9.68,c,Moderate,Time & Work
105,A can finish a work in 30 days and B in 26 days. How long to finish together?,11.93,20.89,15.93,13.93,d,Moderate,Time & Work
106,A can finish a work in 7 days and B in 27 days. How long to finish together?,7.56,3.56,5.56,8.34,c,Moderate,Time & Work
107,A can finish a work in 29 days and B in 5 days. How long to finish together?,2.26,6.26,4.26,6.39,c,Moderate,Time & Work
108,A can finish a work in 23 days and B in 18 days. How long to finish together?,10.1,15.15,12.1,8.1,a,Moderate,Time & Work
109,A can finish a work in 28 days and B in 19 days. How long to finish together?,9.32,13.32,11.32,16.98,c,Moderate,Time & Work
110,A can finish a work in 16 days and B in 10 days. How long to finish together?,6.15,9.23,4.15,8.15,a,Moderate,Time & Work
111,A can finish a work in 26 days and B in 26 days. How long to finish together?,15,13,11,19.5,b,Moderate,Time & Work
112,A can finish a work in 10 days and B in 16 days. How long to finish together?,9.23,8.15,4.15,6.15,d,Moderate,Time & Work
113,A can finish a work in 9 days and B in 10 days. How long to finish together?,7.11,4.74,6.74,2.74,b,Moderate,Time & Work
114,A can finish a work in 6 days and B in 6 days. How long to finish together?,1,3,4.5,5,b,Moderate,Time & Work
115,A can finish a work in 24 days and B in 8 days. How long to finish together?,9,4,8,6,d,Moderate,Time & Work
116,A can finish a work in 12 days and B in 19 days. How long to finish together?,5.35,7.35,9.35,11.02,b,Moderate,Time & Work
117,A can finish a work in 8 days and B in 28 days. How long to finish together?,4.22,6.22,8.22,9.33,b,Moderate,Time & Work
118,A can finish a work in 29 days and B in 30 days. How long to finish together?,12.75,14.75,16.75,22.12,b,Moderate,Time & Work
119,A can finish a work in 13 days and B in 11 days. How long to finish together?,3.96,5.96,7.96,8.94,b,Moderate,Time & Work
120,A can finish a work in 17 days and B in 9 days. How long to finish together?,5.88,8.82,7.88,3.88,a,Moderate,Time & Work
121,A can finish a work in 2 days and B in 14 days. How long to finish together?,1.75,3.75,2.62,-0.25,a,Moderate,Time & Work
122,A can finish a work in 25 days and B in 7 days. How long to finish together?,7.47,3.47,5.47,8.21,c,Moderate,Time & Work
123,A can finish a work in 14 days and B in 20 days. How long to finish together?,6.24,10.24,12.36,8.24,d,Moderate,Time & Work
124,A can finish a work in 6 days and B in 29 days. How long to finish together?,6.97,2.97,4.97,7.46,c,Moderate,Time & Work
125,A can finish a work in 10 days and B in 14 days. How long to finish together?,8.75,7.83,5.83,3.83,c,Moderate,Time & Work
126,A can finish a work in 12 days and B in 12 days. How long to finish together?,6,4,8,9,a,Moderate,Time & Work
127,A can finish a work in 10 days and B in 28 days. How long to finish together?,5.37,11.05,9.37,7.37,d,Moderate,Time & Work
128,A can finish a work in 25 days and B in 19 days. How long to finish together?,8.8,16.2,12.8,10.8,d,Moderate,Time & Work
129,A can finish a work in 22 days and B in 4 days. How long to finish together?,5.38,1.38,5.07,3.38,d,Moderate,Time & Work
130,A can finish a work in 8 days and B in 28 days. How long to finish together?,8.22,9.33,4.22,6.22,d,Moderate,Time & Work
131,A can finish a work in 9 days and B in 6 days. How long to finish together?,5.6,3.6,1.6,5.4,b,Moderate,Time & Work
132,A can finish a work in 20 days and B in 8 days. How long to finish together?,5.71,7.71,3.71,8.56,a,Moderate,Time & Work
133,A can finish a work in 26 days and B in 13 days. How long to finish together?,13.0,8.67,6.67,10.67,b,Moderate,Time & Work
134,A can finish a work in 26 days and B in 28 days. How long to finish together?,11.48,13.48,20.22,15.48,b,Moderate,Time & Work
135,A can finish a work in 20 days and B in 2 days. How long to finish together?,1.82,3.82,2.73,-0.18,a,Moderate,Time & Work
136,A can finish a work in 14 days and B in 24 days. How long to finish together?,13.26,6.84,8.84,10.84,c,Moderate,Time & Work
137,A can finish a work in 5 days and B in 24 days. How long to finish together?,6.14,4.14,6.21,2.14,b,Moderate,Time & Work
138,A can finish a work in 27 days and B in 20 days. How long to finish together?,17.23,9.49,13.49,11.49,d,Moderate,Time & Work
139,A can finish a work in 23 days and B in 13 days. How long to finish together?,12.46,10.31,6.31,8.31,d,Moderate,Time & Work
140,A can finish a work in 2 days and B in 29 days. How long to finish together?,-0.13,1.87,3.87,2.81,b,Moderate,Time & Work
141,A train runs at 75 km/h for 2 hours. Find the distance covered.,160,150,140,165,b,Easy,Speed/Distance/Time
142,A train runs at 75 km/h for 1 hours. Find the distance covered.,75,85,82.5,65,a,Easy,Speed/Distance/Time
143,A train runs at 79 km/h for 3 hours. Find the distance covered.,260.7,237,247,227,b,Easy,Speed/Distance/Time
144,A train runs at 31 km/h for 2 hours. Find the distance covered.,52,72,62,68.2,c,Easy,Speed/Distance/Time
145,A train runs at 92 km/h for 3 hours. Find the distance covered.,303.6,286,276,266,c,Easy,Speed/Distance/Time
146,A train runs at 61 km/h for 1 hours. Find the distance covered.,51,71,61,67.1,c,Easy,Speed/Distance/Time
147,A train runs at 53 km/h for 2 hours. Find the distance covered.,106,116,116.6,96,a,Easy,Speed/Distance/Time
148,A train runs at 91 km/h for 0.5 hours. Find the distance covered.,50.05,35.5,45.5,55.5,c,Easy,Speed/Distance/Time
149,A train runs at 72 km/h for 3 hours. Find the distance covered.,216,237.6,206,226,a,Easy,Speed/Distance/Time
150,A train runs at 82 km/h for 3 hours. Find the distance covered.,236,256,270.6,246,d,Easy,Speed/Distance/Time
151,A train runs at 48 km/h for 3 hours. Find the distance covered.,144,134,158.4,154,a,Easy,Speed/Distance/Time
152,A train runs at 80 km/h for 2 hours. Find the distance covered.,160,170,150,176,a,Easy,Speed/Distance/Time
153,A train runs at 65 km/h for 3 hours. Find the distance covered.,195,214.5,205,185,a,Easy,Speed/Distance/Time
154,A train runs at 49 km/h for 0.5 hours. Find the distance covered.,14.5,24.5,26.95,34.5,b,Easy,Speed/Distance/Time
155,A train runs at 88 km/h for 1 hours. Find the distance covered.,78,96.8,88,98,c,Easy,Speed/Distance/Time
156,A train runs at 55 km/h for 2 hours. Find the distance covered.,100,120,121.0,110,d,Easy,Speed/Distance/Time
157,A train runs at 49 km/h for 2 hours. Find the distance covered.,88,98,107.8,108,b,Easy,Speed/Distance/Time
158,A train runs at 88 km/h for 1 hours. Find the distance covered.,98,96.8,88,78,c,Easy,Speed/Distance/Time
159,A train runs at 90 km/h for 2 hours. Find the distance covered.,180,198.0,170,190,a,Easy,Speed/Distance/Time
160,A train runs at 33 km/h for 0.5 hours. Find the distance covered.,16.5,18.15,26.5,6.5,a,Easy,Speed/Distance/Time
161,A train runs at 76 km/h for 2 hours. Find the distance covered.,142,167.2,152,162,c,Easy,Speed/Distance/Time
162,A train runs at 81 km/h for 0.5 hours. Find the distance covered.,44.55,30.5,50.5,40.5,d,Easy,Speed/Distance/Time
163,A train runs at 29 km/h for 0.5 hours. Find the distance covered.,4.5,15.95,14.5,24.5,c,Easy,Speed/Distance/Time
164,A train runs at 30 km/h for 1 hours. Find the distance covered.,33,40,20,30,d,Easy,Speed/Distance/Time
165,A train runs at 97 km/h for 1 hours. Find the distance covered.,97,87,107,106.7,a,Easy,Speed/Distance/Time
166,A train runs at 58 km/h for 3 hours. Find the distance covered.,184,174,191.4,164,b,Easy,Speed/Distance/Time
167,A train runs at 98 km/h for 0.5 hours. Find the distance covered.,53.9,49,39,59,b,Easy,Speed/Distance/Time
168,A train runs at 53 km/h for 0.5 hours. Find the distance covered.,29.15,16.5,26.5,36.5,c,Easy,Speed/Distance/Time
169,A train runs at 90 km/h for 0.5 hours. Find the distance covered.,35,49.5,45,55,c,Easy,Speed/Distance/Time
170,A train runs at 77 km/h for 3 hours. Find the distance covered.,241,254.1,231,221,c,Easy,Speed/Distance/Time
171,A train runs at 56 km/h for 2 hours. Find the distance covered.,122,102,112,123.2,c,Easy,Speed/Distance/Time
172,A train runs at 53 km/h for 1 hours. Find the distance covered.,63,43,53,58.3,c,Easy,Speed/Distance/Time
173,A train runs at 39 km/h for 2 hours. Find the distance covered.,85.8,68,78,88,c,Easy,Speed/Distance/Time
174,A train runs at 41 km/h for 2 hours. Find the distance covered.,90.2,82,92,72,b,Easy,Speed/Distance/Time
175,A train runs at 79 km/h for 2 hours. Find the distance covered.,158,148,168,173.8,a,Easy,Speed/Distance/Time
176,A train runs at 76 km/h for 0.5 hours. Find the distance covered.,41.8,28,48,38,d,Easy,Speed/Distance/Time
177,A train runs at 97 km/h for 2 hours. Find the distance covered.,204,184,213.4,194,d,Easy,Speed/Distance/Time
178,A train runs at 93 km/h for 0.5 hours. Find the distance covered.,56.5,46.5,51.15,36.5,b,Easy,Speed/Distance/Time
179,A train runs at 42 km/h for 3 hours. Find the distance covered.,116,126,136,138.6,b,Easy,Speed/Distance/Time
180,A train runs at 94 km/h for 3 hours. Find the distance covered.,272,292,282,310.2,c,Easy,Speed/Distance/Time
181,A train runs at 64 km/h for 3 hours. Find the distance covered.,211.2,192,202,182,b,Easy,Speed/Distance/Time
182,A train runs at 40 km/h for 2 hours. Find the distance covered.,80,90,70,88,a,Easy,Speed/Distance/Time
183,A train runs at 56 km/h for 3 hours. Find the distance covered.,158,184.8,178,168,d,Easy,Speed/Distance/Time
184,A train runs at 60 km/h for 2 hours. Find the distance covered.,132,130,120,110,c,Easy,Speed/Distance/Time
185,A train runs at 85 km/h for 0.5 hours. Find the distance covered.,32.5,42.5,52.5,46.75,b,Easy,Speed/Distance/Time
186,A train runs at 44 km/h for 2 hours. Find the distance covered.,88,98,78,96.8,a,Easy,Speed/Distance/Time
187,A train runs at 26 km/h for 1 hours. Find the distance covered.,36,26,28.6,16,b,Easy,Speed/Distance/Time
